user_id,cluster,segment
R00200,2,At-Risk
R00201,2,At-Risk
R00202,1,Dormant
R00203,2,At-Risk
R00204,2,At-Risk
R00205,0,Champions
R00206,2,At-Risk
R00207,0,Champions
R00208,1,Dormant
R00209,2,At-Risk
R00210,0,Champions
R00211,2,At-Risk
R00212,0,Champions
R00213,2,At-Risk
R00215,0,Champions
R00216,0,Champions
R00217,2,At-Risk
R00218,0,Champions
R00219,0,Champions
R00220,0,Champions
R00221,0,Champions
R00222,2,At-Risk
R00223,1,Dormant
R00224,0,Champions
R00225,2,At-Risk
R00227,2,At-Risk
R00228,2,At-Risk
R00229,0,Champions
R00230,2,At-Risk
R00231,2,At-Risk
R00232,0,Champions
R00233,0,Champions
R00234,3,Loyal Riders
R00235,0,Champions
R00236,0,Champions
R00237,0,Champions
R00238,2,At-Risk
R00239,2,At-Risk
R00240,3,Loyal Riders
R00241,0,Champions
R00242,2,At-Risk
R00243,2,At-Risk
R00244,2,At-Risk
R00245,3,Loyal Riders
R00246,2,At-Risk
R00247,1,Dormant
R00249,2,At-Risk
R00250,0,Champions
R00251,2,At-Risk
R00252,2,At-Risk
R00253,0,Champions
R00254,0,Champions
R00255,3,Loyal Riders
R00256,3,Loyal Riders
R00257,0,Champions
R00258,1,Dormant
R00259,2,At-Risk
R00260,2,At-Risk
R00261,2,At-Risk
R00262,0,Champions
R00263,2,At-Risk
R00264,1,Dormant
R00265,2,At-Risk
R00266,0,Champions
R00267,0,Champions
R00268,2,At-Risk
R00269,0,Champions
R00270,0,Champions
R00271,2,At-Risk
R00272,0,Champions
R00274,1,Dormant
R00275,2,At-Risk
R00276,2,At-Risk
R00278,0,Champions
R00279,2,At-Risk
R00280,1,Dormant
R00281,0,Champions
R00282,2,At-Risk
R00283,1,Dormant
R00284,0,Champions
R00285,2,At-Risk
R00286,1,Dormant
R00287,2,At-Risk
R00288,1,Dormant
R00289,2,At-Risk
R00290,3,Loyal Riders
R00291,2,At-Risk
R00292,1,Dormant
R00293,0,Champions
R00295,2,At-Risk
R00296,2,At-Risk
R00298,1,Dormant
R00299,2,At-Risk
R00300,2,At-Risk
R00301,2,At-Risk
R00302,2,At-Risk
R00303,0,Champions
R00304,0,Champions
R00305,0,Champions
R00306,2,At-Risk
R00307,0,Champions
R00308,3,Loyal Riders
R00309,2,At-Risk
R00310,0,Champions
R00311,0,Champions
R00312,0,Champions
R00313,2,At-Risk
R00315,0,Champions
R00316,2,At-Risk
R00317,1,Dormant
R00318,0,Champions
R00319,2,At-Risk
R00320,0,Champions
R00321,2,At-Risk
R00322,0,Champions
R00324,0,Champions
R00325,0,Champions
R00327,3,Loyal Riders
R00328,1,Dormant
R00329,2,At-Risk
R00331,2,At-Risk
R00332,0,Champions
R00333,2,At-Risk
R00334,1,Dormant
R00335,0,Champions
R00336,2,At-Risk
R00337,0,Champions
R00338,0,Champions
R00339,0,Champions
R00340,1,Dormant
R00341,2,At-Risk
R00342,2,At-Risk
R00343,2,At-Risk
R00344,2,At-Risk
R00345,1,Dormant
R00347,2,At-Risk
R00348,2,At-Risk
R00349,2,At-Risk
R00350,2,At-Risk
R00351,0,Champions
R00352,0,Champions
R00353,2,At-Risk
R00354,2,At-Risk
R00355,0,Champions
R00356,1,Dormant
R00357,1,Dormant
R00358,0,Champions
R00359,1,Dormant
R00360,0,Champions
R00361,2,At-Risk
R00362,3,Loyal Riders
R00363,0,Champions
R00364,1,Dormant
R00365,2,At-Risk
R00367,0,Champions
R00368,0,Champions
R00369,3,Loyal Riders
R00370,1,Dormant
R00371,0,Champions
R00372,2,At-Risk
R00373,2,At-Risk
R00375,3,Loyal Riders
R00376,1,Dormant
R00377,2,At-Risk
R00378,1,Dormant
R00379,1,Dormant
R00380,0,Champions
R00381,0,Champions
R00382,0,Champions
R00383,0,Champions
R00384,3,Loyal Riders
R00385,2,At-Risk
R00386,0,Champions
R00387,2,At-Risk
R00388,0,Champions
R00389,1,Dormant
R00390,1,Dormant
R00391,0,Champions
R00392,3,Loyal Riders
R00393,2,At-Risk
R00394,0,Champions
R00395,0,Champions
R00396,0,Champions
R00398,1,Dormant
R00399,1,Dormant
R00400,2,At-Risk
R00401,1,Dormant
R00402,2,At-Risk
R00403,0,Champions
R00404,2,At-Risk
R00405,0,Champions
R00406,1,Dormant
R00407,1,Dormant
R00408,0,Champions
R00409,0,Champions
R00410,1,Dormant
R00411,2,At-Risk
R00412,2,At-Risk
R00413,2,At-Risk
R00414,2,At-Risk
R00415,2,At-Risk
R00416,1,Dormant
R00418,2,At-Risk
R00419,2,At-Risk
R00421,2,At-Risk
R00422,3,Loyal Riders
R00423,1,Dormant
R00424,2,At-Risk
R00425,0,Champions
R00427,1,Dormant
R00429,2,At-Risk
R00431,2,At-Risk
R00432,2,At-Risk
R00433,2,At-Risk
R00434,1,Dormant
R00436,2,At-Risk
R00437,1,Dormant
R00438,2,At-Risk
R00439,2,At-Risk
R00440,1,Dormant
R00441,0,Champions
R00442,0,Champions
R00443,2,At-Risk
R00444,3,Loyal Riders
R00445,1,Dormant
R00446,0,Champions
R00447,3,Loyal Riders
R00448,0,Champions
R00449,0,Champions
R00451,2,At-Risk
R00452,0,Champions
R00453,1,Dormant
R00454,0,Champions
R00455,1,Dormant
R00456,0,Champions
R00457,2,At-Risk
R00458,0,Champions
R00459,1,Dormant
R00460,2,At-Risk
R00461,0,Champions
R00462,1,Dormant
R00463,0,Champions
R00464,1,Dormant
R00465,0,Champions
R00466,2,At-Risk
R00467,2,At-Risk
R00468,0,Champions
R00469,0,Champions
R00470,0,Champions
R00471,2,At-Risk
R00472,2,At-Risk
R00473,0,Champions
R00475,0,Champions
R00476,1,Dormant
R00479,0,Champions
R00480,2,At-Risk
R00481,1,Dormant
R00482,2,At-Risk
R00483,2,At-Risk
R00484,2,At-Risk
R00487,2,At-Risk
R00488,2,At-Risk
R00489,2,At-Risk
R00490,0,Champions
R00491,0,Champions
R00494,2,At-Risk
R00495,0,Champions
R00496,2,At-Risk
R00497,2,At-Risk
R00498,0,Champions
R00499,0,Champions
R00501,2,At-Risk
R00503,0,Champions
R00504,3,Loyal Riders
R00505,1,Dormant
R00506,2,At-Risk
R00507,0,Champions
R00508,0,Champions
R00509,3,Loyal Riders
R00510,0,Champions
R00511,0,Champions
R00512,0,Champions
R00513,2,At-Risk
R00514,1,Dormant
R00515,2,At-Risk
R00518,2,At-Risk
R00519,0,Champions
R00520,0,Champions
R00521,2,At-Risk
R00522,2,At-Risk
R00523,2,At-Risk
R00524,2,At-Risk
R00525,0,Champions
R00526,2,At-Risk
R00528,3,Loyal Riders
R00529,0,Champions
R00530,1,Dormant
R00531,1,Dormant
R00532,3,Loyal Riders
R00533,1,Dormant
R00534,2,At-Risk
R00535,0,Champions
R00536,0,Champions
R00537,2,At-Risk
R00538,2,At-Risk
R00539,0,Champions
R00541,2,At-Risk
R00542,2,At-Risk
R00543,0,Champions
R00544,2,At-Risk
R00545,2,At-Risk
R00546,0,Champions
R00547,2,At-Risk
R00548,2,At-Risk
R00549,2,At-Risk
R00550,0,Champions
R00551,1,Dormant
R00552,2,At-Risk
R00553,2,At-Risk
R00554,0,Champions
R00555,1,Dormant
R00556,2,At-Risk
R00557,0,Champions
R00558,0,Champions
R00559,0,Champions
R00560,2,At-Risk
R00561,1,Dormant
R00562,2,At-Risk
R00563,1,Dormant
R00564,2,At-Risk
R00565,0,Champions
R00566,2,At-Risk
R00567,2,At-Risk
R00568,2,At-Risk
R00570,2,At-Risk
R00571,0,Champions
R00572,0,Champions
R00573,2,At-Risk
R00574,1,Dormant
R00575,2,At-Risk
R00577,0,Champions
R00578,0,Champions
R00579,0,Champions
R00580,0,Champions
R00582,1,Dormant
R00583,1,Dormant
R00584,2,At-Risk
R00585,2,At-Risk
R00586,3,Loyal Riders
R00587,1,Dormant
R00588,2,At-Risk
R00589,1,Dormant
R00590,2,At-Risk
R00591,2,At-Risk
R00592,2,At-Risk
R00593,2,At-Risk
R00594,1,Dormant
R00595,3,Loyal Riders
R00596,1,Dormant
R00597,0,Champions
R00598,2,At-Risk
R00599,0,Champions
R00600,0,Champions
R00601,2,At-Risk
R00602,2,At-Risk
R00604,2,At-Risk
R00605,0,Champions
R00606,0,Champions
R00607,2,At-Risk
R00608,0,Champions
R00609,1,Dormant
R00610,0,Champions
R00611,0,Champions
R00612,2,At-Risk
R00613,0,Champions
R00614,2,At-Risk
R00615,2,At-Risk
R00616,0,Champions
R00617,0,Champions
R00618,2,At-Risk
R00620,2,At-Risk
R00621,2,At-Risk
R00622,2,At-Risk
R00623,1,Dormant
R00624,3,Loyal Riders
R00625,2,At-Risk
R00626,0,Champions
R00627,1,Dormant
R00628,2,At-Risk
R00629,2,At-Risk
R00630,2,At-Risk
R00631,0,Champions
R00632,2,At-Risk
R00633,0,Champions
R00634,2,At-Risk
R00636,2,At-Risk
R00637,0,Champions
R00638,0,Champions
R00639,2,At-Risk
R00640,2,At-Risk
R00641,2,At-Risk
R00642,1,Dormant
R00643,0,Champions
R00644,3,Loyal Riders
R00645,1,Dormant
R00646,0,Champions
R00647,3,Loyal Riders
R00648,1,Dormant
R00649,1,Dormant
R00651,3,Loyal Riders
R00652,3,Loyal Riders
R00653,0,Champions
R00654,2,At-Risk
R00655,1,Dormant
R00656,2,At-Risk
R00657,2,At-Risk
R00658,0,Champions
R00659,2,At-Risk
R00660,0,Champions
R00661,0,Champions
R00662,2,At-Risk
R00663,0,Champions
R00665,2,At-Risk
R00666,0,Champions
R00667,2,At-Risk
R00668,3,Loyal Riders
R00669,1,Dormant
R00670,0,Champions
R00672,2,At-Risk
R00673,2,At-Risk
R00674,3,Loyal Riders
R00675,2,At-Risk
R00676,0,Champions
R00677,2,At-Risk
R00678,2,At-Risk
R00679,0,Champions
R00680,0,Champions
R00681,3,Loyal Riders
R00682,3,Loyal Riders
R00683,0,Champions
R00684,3,Loyal Riders
R00685,2,At-Risk
R00686,0,Champions
R00687,0,Champions
R00688,2,At-Risk
R00689,2,At-Risk
R00691,0,Champions
R00692,3,Loyal Riders
R00693,2,At-Risk
R00694,2,At-Risk
R00695,3,Loyal Riders
R00696,1,Dormant
R00697,0,Champions
R00698,1,Dormant
R00699,0,Champions
R00700,3,Loyal Riders
R00701,2,At-Risk
R00703,3,Loyal Riders
R00704,3,Loyal Riders
R00705,0,Champions
R00706,2,At-Risk
R00708,1,Dormant
R00709,2,At-Risk
R00710,0,Champions
R00711,0,Champions
R00712,0,Champions
R00713,1,Dormant
R00714,1,Dormant
R00715,2,At-Risk
R00716,0,Champions
R00717,2,At-Risk
R00718,0,Champions
R00719,2,At-Risk
R00720,2,At-Risk
R00721,1,Dormant
R00722,0,Champions
R00723,2,At-Risk
R00724,2,At-Risk
R00725,2,At-Risk
R00726,2,At-Risk
R00727,2,At-Risk
R00729,1,Dormant
R00730,0,Champions
R00731,1,Dormant
R00732,0,Champions
R00733,1,Dormant
R00734,0,Champions
R00735,1,Dormant
R00737,0,Champions
R00739,2,At-Risk
R00740,2,At-Risk
R00741,0,Champions
R00742,2,At-Risk
R00743,1,Dormant
R00744,2,At-Risk
R00745,3,Loyal Riders
R00746,2,At-Risk
R00747,0,Champions
R00749,1,Dormant
R00750,0,Champions
R00751,3,Loyal Riders
R00752,2,At-Risk
R00753,2,At-Risk
R00754,1,Dormant
R00755,0,Champions
R00756,3,Loyal Riders
R00757,2,At-Risk
R00758,1,Dormant
R00759,2,At-Risk
R00760,2,At-Risk
R00761,0,Champions
R00762,0,Champions
R00764,1,Dormant
R00765,2,At-Risk
R00766,0,Champions
R00767,3,Loyal Riders
R00768,0,Champions
R00769,1,Dormant
R00770,0,Champions
R00771,0,Champions
R00772,0,Champions
R00773,1,Dormant
R00774,2,At-Risk
R00775,0,Champions
R00776,1,Dormant
R00777,1,Dormant
R00778,0,Champions
R00779,0,Champions
R00780,2,At-Risk
R00781,0,Champions
R00782,0,Champions
R00783,2,At-Risk
R00784,0,Champions
R00785,1,Dormant
R00786,0,Champions
R00787,2,At-Risk
R00788,0,Champions
R00790,0,Champions
R00791,3,Loyal Riders
R00792,2,At-Risk
R00793,1,Dormant
R00794,0,Champions
R00795,2,At-Risk
R00796,2,At-Risk
R00797,2,At-Risk
R00798,2,At-Risk
R00799,2,At-Risk
R00800,3,Loyal Riders
R00801,2,At-Risk
R00802,2,At-Risk
R00803,2,At-Risk
R00804,2,At-Risk
R00805,2,At-Risk
R00806,2,At-Risk
R00807,2,At-Risk
R00808,0,Champions
R00809,2,At-Risk
R00810,2,At-Risk
R00811,2,At-Risk
R00812,0,Champions
R00813,1,Dormant
R00814,1,Dormant
R00815,3,Loyal Riders
R00816,2,At-Risk
R00817,0,Champions
R00818,2,At-Risk
R00819,0,Champions
R00820,2,At-Risk
R00821,2,At-Risk
R00822,0,Champions
R00824,2,At-Risk
R00826,2,At-Risk
R00827,0,Champions
R00829,2,At-Risk
R00830,2,At-Risk
R00831,0,Champions
R00832,1,Dormant
R00833,2,At-Risk
R00834,2,At-Risk
R00835,3,Loyal Riders
R00836,2,At-Risk
R00837,0,Champions
R00838,0,Champions
R00839,1,Dormant
R00841,0,Champions
R00842,2,At-Risk
R00843,2,At-Risk
R00844,2,At-Risk
R00845,0,Champions
R00846,1,Dormant
R00847,0,Champions
R00848,1,Dormant
R00849,2,At-Risk
R00850,1,Dormant
R00851,2,At-Risk
R00852,2,At-Risk
R00853,2,At-Risk
R00854,2,At-Risk
R00855,2,At-Risk
R00856,3,Loyal Riders
R00857,2,At-Risk
R00858,2,At-Risk
R00859,1,Dormant
R00860,2,At-Risk
R00861,0,Champions
R00862,2,At-Risk
R00863,2,At-Risk
R00864,2,At-Risk
R00866,0,Champions
R00867,2,At-Risk
R00868,2,At-Risk
R00869,2,At-Risk
R00870,0,Champions
R00871,0,Champions
R00872,2,At-Risk
R00873,1,Dormant
R00874,0,Champions
R00875,1,Dormant
R00876,2,At-Risk
R00877,2,At-Risk
R00878,2,At-Risk
R00879,0,Champions
R00880,0,Champions
R00881,2,At-Risk
R00882,0,Champions
R00883,0,Champions
R00884,0,Champions
R00885,0,Champions
R00886,0,Champions
R00887,3,Loyal Riders
R00888,0,Champions
R00889,0,Champions
R00890,1,Dormant
R00891,0,Champions
R00892,3,Loyal Riders
R00895,0,Champions
R00896,1,Dormant
R00897,1,Dormant
R00898,2,At-Risk
R00899,1,Dormant
R00900,3,Loyal Riders
R00901,0,Champions
R00902,0,Champions
R00903,1,Dormant
R00904,2,At-Risk
R00905,0,Champions
R00906,1,Dormant
R00907,0,Champions
R00908,0,Champions
R00909,0,Champions
R00910,0,Champions
R00912,2,At-Risk
R00913,2,At-Risk
R00914,2,At-Risk
R00915,2,At-Risk
R00916,2,At-Risk
R00917,2,At-Risk
R00918,1,Dormant
R00919,2,At-Risk
R00921,2,At-Risk
R00922,2,At-Risk
R00923,2,At-Risk
R00924,0,Champions
R00925,2,At-Risk
R00927,0,Champions
R00929,0,Champions
R00930,2,At-Risk
R00931,2,At-Risk
R00932,2,At-Risk
R00933,0,Champions
R00934,1,Dormant
R00935,2,At-Risk
R00936,2,At-Risk
R00937,2,At-Risk
R00938,3,Loyal Riders
R00939,1,Dormant
R00940,2,At-Risk
R00941,0,Champions
R00942,3,Loyal Riders
R00943,2,At-Risk
R00944,1,Dormant
R00945,0,Champions
R00946,1,Dormant
R00947,0,Champions
R00948,2,At-Risk
R00949,0,Champions
R00950,2,At-Risk
R00951,2,At-Risk
R00952,2,At-Risk
R00953,0,Champions
R00954,2,At-Risk
R00955,1,Dormant
R00956,2,At-Risk
R00957,0,Champions
R00958,0,Champions
R00959,0,Champions
R00960,1,Dormant
R00961,0,Champions
R00962,2,At-Risk
R00963,3,Loyal Riders
R00965,1,Dormant
R00966,0,Champions
R00967,2,At-Risk
R00968,0,Champions
R00970,0,Champions
R00971,0,Champions
R00972,2,At-Risk
R00973,1,Dormant
R00974,2,At-Risk
R00976,1,Dormant
R00977,1,Dormant
R00978,0,Champions
R00979,0,Champions
R00980,2,At-Risk
R00982,0,Champions
R00984,2,At-Risk
R00985,3,Loyal Riders
R00986,0,Champions
R00987,3,Loyal Riders
R00988,1,Dormant
R00989,2,At-Risk
R00990,2,At-Risk
R00991,1,Dormant
R00992,0,Champions
R00993,2,At-Risk
R00994,2,At-Risk
R00995,0,Champions
R00996,0,Champions
R00997,0,Champions
R00998,0,Champions
R00999,0,Champions
R01000,0,Champions
R01001,2,At-Risk
R01002,0,Champions
R01003,3,Loyal Riders
R01004,2,At-Risk
R01005,3,Loyal Riders
R01006,2,At-Risk
R01007,1,Dormant
R01008,2,At-Risk
R01009,0,Champions
R01010,2,At-Risk
R01011,2,At-Risk
R01012,2,At-Risk
R01013,2,At-Risk
R01014,0,Champions
R01015,0,Champions
R01016,2,At-Risk
R01017,2,At-Risk
R01018,0,Champions
R01019,2,At-Risk
R01020,2,At-Risk
R01022,2,At-Risk
R01023,0,Champions
R01024,1,Dormant
R01025,0,Champions
R01027,2,At-Risk
R01028,1,Dormant
R01030,0,Champions
R01031,2,At-Risk
R01032,2,At-Risk
R01033,2,At-Risk
R01035,1,Dormant
R01036,2,At-Risk
R01038,1,Dormant
R01039,1,Dormant
R01040,1,Dormant
R01041,2,At-Risk
R01042,0,Champions
R01043,2,At-Risk
R01044,2,At-Risk
R01045,1,Dormant
R01046,0,Champions
R01047,2,At-Risk
R01048,2,At-Risk
R01049,0,Champions
R01050,2,At-Risk
R01051,1,Dormant
R01052,2,At-Risk
R01053,0,Champions
R01054,0,Champions
R01055,2,At-Risk
R01056,0,Champions
R01057,0,Champions
R01058,0,Champions
R01059,1,Dormant
R01060,1,Dormant
R01061,1,Dormant
R01062,0,Champions
R01063,3,Loyal Riders
R01064,2,At-Risk
R01065,2,At-Risk
R01066,3,Loyal Riders
R01069,0,Champions
R01070,2,At-Risk
R01071,0,Champions
R01072,2,At-Risk
R01073,3,Loyal Riders
R01075,0,Champions
R01076,2,At-Risk
R01077,2,At-Risk
R01079,0,Champions
R01080,1,Dormant
R01082,0,Champions
R01083,0,Champions
R01084,1,Dormant
R01086,1,Dormant
R01087,2,At-Risk
R01088,0,Champions
R01089,1,Dormant
R01090,2,At-Risk
R01091,0,Champions
R01092,2,At-Risk
R01093,2,At-Risk
R01094,3,Loyal Riders
R01095,1,Dormant
R01096,1,Dormant
R01097,2,At-Risk
R01098,1,Dormant
R01099,2,At-Risk
R01100,1,Dormant
R01101,2,At-Risk
R01102,2,At-Risk
R01103,0,Champions
R01104,2,At-Risk
R01105,0,Champions
R01106,0,Champions
R01107,3,Loyal Riders
R01108,2,At-Risk
R01109,2,At-Risk
R01110,0,Champions
R01111,1,Dormant
R01112,1,Dormant
R01113,1,Dormant
R01114,1,Dormant
R01115,1,Dormant
R01116,3,Loyal Riders
R01117,2,At-Risk
R01118,1,Dormant
R01119,0,Champions
R01120,0,Champions
R01121,1,Dormant
R01122,0,Champions
R01123,0,Champions
R01124,2,At-Risk
R01125,2,At-Risk
R01126,2,At-Risk
R01127,2,At-Risk
R01128,2,At-Risk
R01129,3,Loyal Riders
R01130,2,At-Risk
R01131,2,At-Risk
R01132,1,Dormant
R01134,0,Champions
R01135,1,Dormant
R01136,1,Dormant
R01137,0,Champions
R01138,2,At-Risk
R01140,2,At-Risk
R01141,0,Champions
R01142,2,At-Risk
R01143,0,Champions
R01144,0,Champions
R01145,0,Champions
R01146,2,At-Risk
R01147,0,Champions
R01148,0,Champions
R01149,2,At-Risk
R01150,2,At-Risk
R01151,2,At-Risk
R01152,2,At-Risk
R01153,2,At-Risk
R01155,3,Loyal Riders
R01156,2,At-Risk
R01157,0,Champions
R01158,2,At-Risk
R01159,1,Dormant
R01160,1,Dormant
R01161,0,Champions
R01162,0,Champions
R01163,2,At-Risk
R01164,0,Champions
R01165,0,Champions
R01166,1,Dormant
R01167,2,At-Risk
R01168,0,Champions
R01169,0,Champions
R01170,3,Loyal Riders
R01171,2,At-Risk
R01172,2,At-Risk
R01173,0,Champions
R01174,2,At-Risk
R01177,1,Dormant
R01178,2,At-Risk
R01179,0,Champions
R01180,3,Loyal Riders
R01181,1,Dormant
R01182,2,At-Risk
R01183,1,Dormant
R01185,0,Champions
R01186,0,Champions
R01187,1,Dormant
R01188,0,Champions
R01189,0,Champions
R01190,2,At-Risk
R01191,2,At-Risk
R01192,1,Dormant
R01193,1,Dormant
R01194,0,Champions
R01195,1,Dormant
R01196,2,At-Risk
R01197,2,At-Risk
R01198,2,At-Risk
R01199,2,At-Risk
R01201,1,Dormant
R01202,1,Dormant
R01203,0,Champions
R01204,3,Loyal Riders
R01205,0,Champions
R01207,1,Dormant
R01208,2,At-Risk
R01210,0,Champions
R01211,1,Dormant
R01212,2,At-Risk
R01213,2,At-Risk
R01214,2,At-Risk
R01215,1,Dormant
R01216,0,Champions
R01217,1,Dormant
R01218,1,Dormant
R01220,2,At-Risk
R01221,0,Champions
R01222,1,Dormant
R01223,2,At-Risk
R01224,2,At-Risk
R01226,1,Dormant
R01227,2,At-Risk
R01228,2,At-Risk
R01229,1,Dormant
R01231,1,Dormant
R01232,2,At-Risk
R01233,0,Champions
R01234,2,At-Risk
R01235,2,At-Risk
R01236,2,At-Risk
R01237,0,Champions
R01238,2,At-Risk
R01239,3,Loyal Riders
R01240,0,Champions
R01241,0,Champions
R01242,2,At-Risk
R01243,1,Dormant
R01244,1,Dormant
R01245,3,Loyal Riders
R01246,3,Loyal Riders
R01247,0,Champions
R01248,0,Champions
R01249,2,At-Risk
R01250,2,At-Risk
R01251,2,At-Risk
R01252,0,Champions
R01253,0,Champions
R01254,3,Loyal Riders
R01256,1,Dormant
R01257,1,Dormant
R01258,0,Champions
R01259,2,At-Risk
R01260,2,At-Risk
R01261,0,Champions
R01262,0,Champions
R01263,2,At-Risk
R01264,0,Champions
R01266,0,Champions
R01267,2,At-Risk
R01268,2,At-Risk
R01269,2,At-Risk
R01270,2,At-Risk
R01271,2,At-Risk
R01272,0,Champions
R01273,2,At-Risk
R01274,2,At-Risk
R01275,0,Champions
R01276,1,Dormant
R01277,2,At-Risk
R01279,2,At-Risk
R01280,1,Dormant
R01281,3,Loyal Riders
R01282,2,At-Risk
R01283,2,At-Risk
R01284,2,At-Risk
R01285,0,Champions
R01286,2,At-Risk
R01287,2,At-Risk
R01288,3,Loyal Riders
R01289,0,Champions
R01290,2,At-Risk
R01291,1,Dormant
R01292,1,Dormant
R01293,0,Champions
R01294,1,Dormant
R01295,2,At-Risk
R01296,2,At-Risk
R01297,0,Champions
R01298,1,Dormant
R01299,0,Champions
R01300,2,At-Risk
R01302,0,Champions
R01303,0,Champions
R01304,2,At-Risk
R01305,1,Dormant
R01306,1,Dormant
R01307,2,At-Risk
R01308,0,Champions
R01309,2,At-Risk
R01310,0,Champions
R01311,0,Champions
R01312,2,At-Risk
R01313,0,Champions
R01314,2,At-Risk
R01315,1,Dormant
R01316,2,At-Risk
R01317,2,At-Risk
R01318,1,Dormant
R01319,2,At-Risk
R01320,0,Champions
R01321,2,At-Risk
R01322,0,Champions
R01323,0,Champions
R01324,2,At-Risk
R01327,1,Dormant
R01328,2,At-Risk
R01329,2,At-Risk
R01330,0,Champions
R01331,1,Dormant
R01332,0,Champions
R01333,2,At-Risk
R01334,0,Champions
R01335,0,Champions
R01336,2,At-Risk
R01337,2,At-Risk
R01339,0,Champions
R01340,0,Champions
R01341,2,At-Risk
R01342,0,Champions
R01343,1,Dormant
R01344,2,At-Risk
R01345,0,Champions
R01346,1,Dormant
R01347,0,Champions
R01348,2,At-Risk
R01349,0,Champions
R01350,3,Loyal Riders
R01351,2,At-Risk
R01352,2,At-Risk
R01353,2,At-Risk
R01354,1,Dormant
R01355,2,At-Risk
R01356,0,Champions
